"Date","A3429047X","A3429305C","A3430466R","A3367261X","A3371350C","A3372970K","A3361741A","A3544885R","A3362683J","A3369868F","A3428192A","A3359203A","A3373603A","A3370438C","A3371419R","A3366400V","A3591637F","A3362770F","A3544967V","A3368974T","A3363316X","A3359206J","A3427379J","A3545052R","A3359311K","A3373132T","A85253426W","A3545054V","A3545055W","A3545056X","A3430469W","A3545192T","A83834212F","A3360988K","A3360463V","A3363457C","A3359929L","A3367438V","A3363985J","A3591889A","A3373186X","A3360466A","A3594008V","A3372130V","A3364498T","A3426005W","A3428474X","A3362245J","A3425102F","A3544886T","A3363703X","A3360748X","A3371353K","A3359104V","A3360751L","A3372406W","A3362260F","A3544887V","A3364795L","A3362686R","A3430211L","A3591638J","A83834719T","A3366403A","A3361861V","A3363817W","A3374554K","A3364894V","A3365359K","A3370939A","A3371965X","A3363319F","A3362341J","A3372475A","A3544968W","A3362773L","A3364342W","A3427913W","A3361486C","A83834572K","A3374140K","A3366484R","A3374143T","A3360916X","A3364429L","A3372031L","A3369058C","A3373138F","A3371497W","A3364432A","A3545058C","A3370495X","A3371500X","A3426878J","A3360469J","A83833990J","A3606208V","A3359932A","A3361999K","A3362455F","A3373189F","A3368014J","A3365527K","A3363988R","A3372133A","A3366958F","A3360472W","A3369112F","A83834857R","A84931600W","A3387020J","A84931606K","A3398093A","A3378071R","A3395900F","A3386186R","A3383954R","A3387050W","A3393659K","A3391508R","A3377387T","A3387053C","A84931607L","A3551932A","A3396062X","A3387896A","A3393020W","A3396761K","A3395300A","A3396065F","A3378920W","A3398225T","A3396068L","A3383330T","A3375386C","A3389348X","A84931608R","A3385019L","A3396173R","A3391781C","A3381182R","A3376229T","A3610749L","A3386435T","A3379019X","A3551229X","A3396878R","A84931609T","A3397625K","A3383522K","A3388805A","A3381275A","A3386573R","A84931768A","A3389555R","A3375599J","A3376943A","A3424499W","A3432053C","A3370834F","A3427148X","A3360253W","A3365803V","A3374467L","A3363715J","A3359116C","A3370336R","A3363718R","A3367276R","A3361318T","A3369877J","A3360772X","A3373513W","A3427619J","A3369946A","A3371437V","A3373615K","A3373618T","A3358723L","A3361417X","A3374089R","A3373069L","A3366424L","A3372493F","A3366427V","A3606196W","A3370951T","A3360862C","A3368995C","A3430739K","A3366493T","A3371005R","A3365464L","A3545078L","A85253429C","A3374647W","A3428750J","A3427145T","A3363202A","A3430736C","A3363721C","A3605142W","A3424808R","A3361420L","A3363331W","A3429893K","A3374650K","A3368515F","A3373144A","A3360409F","A3372049K","A3360412V","A3371503F","A3367948V","A3545081A","A3429044T","A3432650A","A3371872L","A3426611W","A83834635J","A3369067F","A3373147J","A3365959R","A3362851J","A3367951J","A3372052X","A3359314T","A3364450F","A3370507W","A3371008W","A3371509V","A3370510K","A3373150W","A3545082C"
1988-06-01,"672302","12200","179","32","0","46","48","0","42","11","261","17","31","61","40","98","0","0","0","14","0","0","0","0","0","0","0","0","0","0","11760","349","0","42","0","3104","749","2644","152","0","399","0","0","3096","1225","388327","42657","42657","8050","0","168","34","240","252","143","1","827","16","92","6277","13289","0","37","0","562","875","744","994","501","0","228","23","0","25","0","0","9300","120598","26","104","36508","43724","2348","3790","1443","154","2856","652","0","1399","0","22","27572","203733","0","32","0","1714","4632","14575","9541","3362","3310","5110","0","1","110193","51263","46837","313","313","2594","157","30","60","0","31","10","0","1114","79","1113","16829","51","1837","0","1759","1723","1283","1","1163","3447","0","637","953","3975","26831","300","1843","281","5","90","0","18147","470","0","5695","270","0","0","0","0","0","0","0","270","0","65039","0","0","13513","0","1148","9013","800","104","100","144","0","1572","0","172","460","51494","0","17","3826","12424","2758","3132","4966","667","8","165","0","0","90","0","23441","32","27","0","0","0","0","5","24874","0","0","0","0","0","0","0","0","24874","177","4374","51","95","3","45","20054","75","0","135025","6309","6309","128716","2214","0","77756","40798","202","3081","436","18","238","2","259","3579","0","105","28"
1988-09-01,"699493","11982","209","40","0","67","56","0","37","9","231","13","39","51","32","88","0","0","0","8","0","0","0","0","0","0","0","0","0","0","11542","389","0","42","0","3239","761","2373","115","0","395","0","0","3105","1123","413343","44183","44183","11450","0","210","152","352","294","196","0","730","37","81","9398","14656","0","0","0","438","921","834","1052","508","0","136","50","0","16","0","0","10701","125680","19","133","37856","43868","2010","3322","1404","143","3334","745","0","1512","0","22","31312","217374","0","33","0","1598","4745","15041","10586","3044","3305","5449","0","1","108832","64740","46984","306","306","2244","72","30","59","30","191","0","5","535","49","1273","16315","58","999","0","2245","1845","1204","0","782","2604","0","347","851","5380","27700","261","2372","340","5","90","0","18792","470","0","5370","419","0","0","0","0","0","0","0","419","0","63185","0","0","13357","0","876","8562","840","0","100","168","0","1868","0","206","737","49789","0","14","2399","12660","3632","3465","5109","710","5","211","0","0","82","0","21502","39","30","0","0","0","0","9","25862","0","0","0","0","0","0","0","0","25862","181","4743","55","99","3","40","20666","75","0","138137","6210","6210","131927","2212","90","81025","40449","234","2668","444","16","234","3","745","3637","0","105","65"
1988-12-01,"705573","12857","280","42","0","97","60","0","65","16","236","19","35","63","33","69","0","0","0","17","0","0","0","0","0","0","0","0","0","0","12341","437","0","42","0","3244","958","2779","127","0","382","0","0","3177","1195","414689","44134","44134","9596","0","221","126","509","315","202","0","216","68","24","7915","14841","0","5","0","355","675","882","750","437","5","84","16","0","104","0","0","11528","129486","0","184","38716","44524","2559","4062","1397","168","3626","671","0","1486","0","23","32070","216632","0","33","0","1678","4780","14683","10489","3272","3310","5541","0","1","106818","66027","47273","353","353","3075","153","30","54","24","245","0","7","894","74","1594","15828","77","948","0","2519","1769","1074","3","541","2039","0","318","769","5771","27747","223","3034","225","0","80","0","19451","482","0","4252","270","0","0","0","0","0","0","0","270","0","61854","0","0","13513","0","972","8433","756","69","110","0","0","2415","0","267","491","48295","0","14","2403","12445","3180","2581","5326","886","4","150","0","0","82","0","21224","46","31","0","0","0","0","15","22832","0","0","0","0","0","0","0","0","22832","202","4322","60","95","3","40","18035","75","0","146068","6387","6387","139681","2212","90","86312","42307","225","3074","454","17","258","3","769","3740","0","105","115"
1989-03-01,"721316","13390","326","43","0","105","64","0","91","23","244","26","41","54","37","61","0","0","0","25","0","0","0","0","0","0","0","0","0","0","12820","466","0","42","0","3361","898","2981","157","0","368","0","0","3316","1231","423773","45229","45229","10799","0","228","178","554","336","344","0","161","85","18","8895","15820","0","113","0","251","811","597","785","439","6","181","16","0","149","0","0","12472","134427","0","171","42727","45674","2418","4377","1411","136","4014","692","0","1542","0","23","31242","217498","0","31","0","2144","4711","14651","10253","2717","3096","5243","0","0","106271","68381","46855","373","373","2681","144","10","24","35","69","2","14","627","46","1710","15404","100","938","0","1689","1419","1097","2","582","2931","0","320","973","5353","27978","229","2777","324","0","80","0","20093","477","0","3998","419","0","0","0","0","0","0","0","419","0","58768","0","0","13358","0","520","9189","1280","70","110","23","0","1271","19","139","737","45369","0","27","1421","12499","2618","1880","5296","722","2","161","0","0","82","0","20661","41","38","0","0","0","0","3","23292","0","0","0","0","0","0","0","0","23292","178","3984","16","100","3","44","18892","75","0","155238","6533","6533","148705","2207","85","93431","43451","202","3449","446","20","280","4","1036","3791","0","115","188"
1989-06-01,"753964","13173","216","43","0","72","69","0","26","6","208","20","28","48","48","42","0","0","0","22","0","0","0","0","0","0","0","0","0","0","12749","499","0","42","0","3636","1000","3115","165","0","382","0","0","2748","1162","448873","45091","45091","10767","0","228","198","381","360","463","0","248","20","28","8841","15788","0","184","0","170","609","656","787","512","7","20","30","0","183","0","0","12630","148179","33","215","48725","47771","2038","5061","1351","220","4238","761","0","1542","0","34","36190","229048","0","42","0","2083","4750","15480","12077","3378","3654","5341","0","0","107450","74793","49225","422","422","2712","164","2","24","28","99","10","13","698","57","1617","15981","133","870","0","1872","1447","935","1","619","2589","0","304","1032","6179","29529","248","2503","246","0","85","0","22879","476","0","3092","581","0","0","0","0","0","0","0","581","0","53094","0","0","9534","0","462","7322","1017","14","127","16","0","203","0","20","353","43464","0","13","2219","12518","2412","2156","4211","1270","2","250","0","0","82","0","18331","96","95","0","0","0","0","1","24478","0","0","0","0","0","0","0","0","24478","239","3735","75","105","3","69","20185","67","0","165121","6540","6540","158581","2212","85","100283","45145","226","4127","409","18","351","5","1620","3647","105","118","230"
1989-09-01,"772259","13945","293","64","0","69","69","0","73","18","236","43","21","48","42","43","0","0","0","39","0","0","0","0","0","0","0","0","0","0","13416","517","0","51","0","3999","1088","3176","104","0","436","0","0","2846","1199","462754","45220","45220","11885","0","335","252","360","363","485","0","328","71","36","9655","16587","0","236","0","156","400","590","748","619","8","12","62","0","237","0","0","13519","147987","33","371","48852","46565","2341","4555","1546","233","4226","734","0","1518","0","21","36992","241075","0","52","0","2325","3769","17708","13416","3484","4292","6492","0","0","112659","76878","50529","393","393","1911","142","11","26","22","101","10","0","402","33","1164","16352","83","960","0","1637","1565","1253","1","739","2932","0","320","1134","5728","31301","267","3570","319","0","80","0","23616","470","0","2979","572","0","0","0","0","0","0","0","572","0","52801","0","0","11688","0","808","9459","418","0","102","5","0","369","0","39","488","40986","0","19","2302","10468","1973","2691","4485","684","5","287","93","0","0","0","17979","127","127","0","0","0","0","0","24769","0","0","0","0","0","0","0","0","24769","223","3748","85","110","3","69","20458","73","0","167461","6481","6481","160980","2161","77","103979","43909","225","3489","411","22","404","4","1872","3779","211","123","314"
1989-12-01,"787665","14317","241","48","0","78","78","0","30","7","226","41","22","49","35","53","0","0","0","26","0","0","0","0","0","0","0","0","0","0","13850","550","0","58","0","3824","1372","3354","102","0","406","0","0","3015","1169","466283","47245","47245","11011","0","252","197","411","412","337","0","185","43","20","9154","16881","0","106","0","175","522","660","431","660","8","48","46","0","379","0","0","13846","150433","33","438","52354","47602","2168","4518","1438","245","4193","762","0","483","0","19","36180","240713","0","53","0","2437","3458","17467","12533","2708","4129","6412","0","0","111988","79528","52295","392","392","3080","291","2","35","46","173","50","0","887","67","1529","17243","20","1029","0","1796","1651","1456","6","870","3161","0","342","1296","5616","30789","338","2504","333","1","78","0","24251","470","0","2814","791","0","0","0","0","0","0","0","791","0","55699","0","0","14818","0","1153","10660","1113","9","101","0","0","447","1","47","1287","40774","0","66","1985","10839","2306","2521","4410","593","0","286","0","0","1","0","17767","107","107","0","0","0","0","0","25501","0","0","0","0","0","0","0","0","25501","204","3790","88","120","3","79","21132","85","0","173570","6686","6686","166884","2110","87","107236","45134","227","3884","425","28","401","4","2634","3898","316","123","377"
1990-03-01,"807259","14582","230","46","0","95","65","0","19","5","218","26","23","46","36","47","0","0","0","40","0","0","0","0","0","0","0","0","0","0","14134","585","0","65","0","3814","1253","3552","141","0","373","0","0","3195","1156","473713","48483","48483","11376","0","239","138","496","341","290","0","211","48","23","9590","17351","0","130","0","130","418","753","518","610","11","185","40","0","47","0","0","14509","158467","33","480","56826","48253","2059","4771","1412","214","3965","915","0","824","0","19","38696","238036","0","76","0","2329","4115","17009","11834","2150","3961","6350","0","0","108033","82179","52895","219","219","3862","275","0","238","110","128","0","0","972","76","2063","18160","10","1149","0","1950","1756","1278","3","687","3330","0","353","1104","6540","29711","227","3008","360","0","75","0","22813","463","0","2765","943","0","0","0","0","0","0","0","943","0","55976","0","0","17090","0","884","11560","1288","21","153","0","0","1377","0","150","1657","38408","0","77","1823","8626","2414","2527","4053","581","0","364","0","0","2","0","17941","478","478","0","0","0","0","0","29539","0","0","0","0","0","0","0","0","29539","370","3825","99","140","3","65","24796","241","0","180554","6797","6797","173757","2058","81","112633","45547","244","4129","578","37","419","3","3043","3970","421","124","470"
1990-06-01,"810395","15221","265","54","0","79","132","0","0","0","211","26","13","42","41","47","0","0","0","42","0","0","0","0","0","0","0","0","0","0","14745","592","0","63","0","3822","1421","3485","152","0","367","0","0","3672","1171","476411","49689","49689","10986","0","281","179","438","690","259","0","313","17","35","8774","17459","0","197","0","166","392","779","394","517","0","13","28","0","291","0","0","14682","161127","33","457","58216","49311","2016","5123","1380","173","3261","1144","0","1985","0","29","37999","237150","0","111","0","2132","3990","17242","11598","1615","4132","6240","0","0","106672","83418","53961","361","361","4113","244","47","222","70","124","25","10","827","67","2477","17912","10","1384","0","2076","1653","1266","0","607","2877","0","336","1018","6685","29263","284","2450","357","0","80","0","22915","463","0","2714","2312","0","0","0","0","0","0","0","2312","0","48072","0","0","8207","0","378","4495","593","32","195","0","0","1179","20","130","1185","38718","0","62","1609","7411","2323","2949","4223","536","0","413","0","0","1","0","19191","1147","1133","0","0","0","0","14","31847","0","0","0","0","0","0","0","0","31847","360","3731","369","145","3","60","26862","317","0","184883","7025","7025","177858","2005","80","114706","46237","243","4695","544","37","408","5","3623","4100","527","126","522"
1990-09-01,"810966","15499","295","66","0","146","83","0","0","0","225","36","10","46","43","42","0","0","0","48","0","0","0","0","0","0","0","0","0","0","14979","582","0","70","0","3458","1501","3366","150","0","341","0","0","4347","1164","474091","50749","50749","10704","0","349","64","783","436","427","0","335","49","37","8224","17269","0","142","0","175","362","655","475","461","0","9","53","0","311","0","0","14626","160803","39","570","60297","48699","2394","4212","1350","107","3182","955","0","2083","0","31","36884","234566","0","167","0","2136","3909","16798","11076","1475","4899","6417","0","0","103809","83880","56220","291","291","5863","450","21","631","56","152","83","5","1174","92","3199","17412","10","1406","0","1550","1841","1235","0","642","3311","0","332","1025","6060","30675","287","2545","354","0","76","0","24133","455","0","2825","1979","0","0","0","0","0","0","0","1952","27","49198","0","0","11051","0","85","6206","951","13","78","0","0","2113","105","233","1267","37853","0","62","3313","5972","1375","3612","4361","562","0","375","0","0","1","0","18220","294","289","0","0","0","0","5","31400","0","0","0","0","0","0","0","0","31400","317","3874","108","144","0","55","26557","345","0","184558","7137","7137","177421","1984","80","116155","45584","246","3314","511","38","348","5","3598","4208","678","129","543"
