"Series ID","Description 1","Description 2","Description 3","Unit","Series Type","Data Type","Frequency","Collection Month","Series Start","Series End","No. Obs"
"A3429047X","Total (Financial sectors) ","  Debt and equity outstanding of the domestic non-financial sectors ","  Total (Counterparty sectors) ","$ Millions","Original","STOCK_CLOSE","Quarter","3","32295","42979","118"
"A3429305C","Private non-financial investment funds ","  Total liabilities ","  Total (Counterparty sectors) ","$ Millions","Original","STOCK_CLOSE","Quarter","3","32295","42979","118"
"A3430466R","Private non-financial investment funds ","  One name paper held by: ","  Total (Counterparty sectors) ","$ Millions","Original","STOCK_CLOSE","Quarter","3","32295","42979","118"
"A3367261X","Private non-financial investment funds ","  One name paper held by: ","  Banks ","$ Millions","Original","STOCK_CLOSE","Quarter","3","32295","42979","118"
"A3371350C","Private non-financial investment funds ","  One name paper held by: ","  Other depository corporations ","$ Millions","Original","STOCK_CLOSE","Quarter","3","32295","42979","118"
"A3372970K","Private non-financial investment funds ","  One name paper held by: ","  Pension funds ","$ Millions","Original","STOCK_CLOSE","Quarter","3","32295","42979","118"
"A3361741A","Private non-financial investment funds ","  One name paper held by: ","  Life insurance corporations ","$ Millions","Original","STOCK_CLOSE","Quarter","3","32295","42979","118"
"A3544885R","Private non-financial investment funds ","  One name paper held by: ","  Money market financial investment funds ","$ Millions","Original","STOCK_CLOSE","Quarter","3","32295","42979","118"
"A3362683J","Private non-financial investment funds ","  One name paper held by: ","  Non-money market financial investment funds ","$ Millions","Original","STOCK_CLOSE","Quarter","3","32295","42979","118"
"A3369868F","Private non-financial investment funds ","  One name paper held by: ","  Other financial corporations ","$ Millions","Original","STOCK_CLOSE","Quarter","3","32295","42979","118"
"A3428192A","Private non-financial investment funds ","  Bonds, etc. held by: ","  Total (Counterparty sectors) ","$ Millions","Original","STOCK_CLOSE","Quarter","3","32295","42979","118"
"A3359203A","Private non-financial investment funds ","  Bonds, etc. held by: ","  Banks ","$ Millions","Original","STOCK_CLOSE","Quarter","3","32295","42979","118"
"A3373603A","Private non-financial investment funds ","  Bonds, etc. held by: ","  Other depository corporations ","$ Millions","Original","STOCK_CLOSE","Quarter","3","32295","42979","118"
"A3370438C","Private non-financial investment funds ","  Bonds, etc. held by: ","  Pension funds ","$ Millions","Original","STOCK_CLOSE","Quarter","3","32295","42979","118"
"A3371419R","Private non-financial investment funds ","  Bonds, etc. held by: ","  Life insurance corporations ","$ Millions","Original","STOCK_CLOSE","Quarter","3","32295","42979","118"
"A3366400V","Private non-financial investment funds ","  Bonds, etc. held by: ","  Non-life insurance corporations ","$ Millions","Original","STOCK_CLOSE","Quarter","3","32295","42979","118"
"A3591637F","Private non-financial investment funds ","  Bonds, etc. held by: ","  Money market financial investment funds ","$ Millions","Original","STOCK_CLOSE","Quarter","3","32295","42979","118"
"A3362770F","Private non-financial investment funds ","  Bonds, etc. held by: ","  Non-money market financial investment funds ","$ Millions","Original","STOCK_CLOSE","Quarter","3","32295","42979","118"
"A3544967V","Private non-financial investment funds ","  Bonds, etc. held by: ","  Securitisers ","$ Millions","Original","STOCK_CLOSE","Quarter","3","32295","42979","118"
"A3368974T","Private non-financial investment funds ","  Bonds, etc. held by: ","  Other financial corporations ","$ Millions","Original","STOCK_CLOSE","Quarter","3","32295","42979","118"
"A3363316X","Private non-financial investment funds ","  Bonds, etc. held by: ","  Households ","$ Millions","Original","STOCK_CLOSE","Quarter","3","32295","42979","118"
"A3359206J","Private non-financial investment funds ","  Bonds, etc. held by: ","  Rest of world ","$ Millions","Original","STOCK_CLOSE","Quarter","3","32295","42979","118"
"A3427379J","Private non-financial investment funds ","  Loans and placements borrowed from: ","  Total (Counterparty sectors) ","$ Millions","Original","STOCK_CLOSE","Quarter","3","32295","42979","118"
"A3545052R","Private non-financial investment funds ","  Loans and placements borrowed from: ","  Other private non-financial corporations ","$ Millions","Original","STOCK_CLOSE","Quarter","3","32295","42979","118"
"A3359311K","Private non-financial investment funds ","  Loans and placements borrowed from: ","  Banks ","$ Millions","Original","STOCK_CLOSE","Quarter","3","32295","42979","118"
"A3373132T","Private non-financial investment funds ","  Loans and placements borrowed from: ","  Other depository corporations ","$ Millions","Original","STOCK_CLOSE","Quarter","3","32295","42979","118"
