"Date","A2298668K","A2304308C","A3606044K","A2304312V","A2304314X","A2304316C","A2304318J","A2304320V","A2304322X","A2304324C","A2304326J","A2304328L","A3606048V","A2435282T","A2435266T","A2304332C","A2304334J","A2304336L","A3606046R","A2304340C","A2304342J","A2304344L","A2304346T","A2304348W","A2304350J","A2304352L","A2304354T","A2304356W","A2323384K","A2304360L","A2304362T","A2304364W","A3606050F","A2432928L","A2432930X","A2304368F","A2304370T","A2304372W","A3606052K","A2304376F","A2304378K","A2304380W","A2304382A","A2304384F","A2304386K","A2304388R","A2304390A","A2304392F","A3606054R","A2304396R","A2304398V","A2304400V","A2304402X","A2304404C","A3606056V","A2304408L","A2304410X","A2304412C","A2304414J","A2304416L","A2304418T","A2304420C","A2304422J","A2304424L","A2323382F","A2304428W","A2304190J","A2304192L","A3606058X","A2304196W","A2304198A","A2304200A","A2302696F","A2302697J","A3606060K","A2302699L","A2302700K","A2302701L","A2302702R","A2302703T","A2302704V","A2302705W","A2302453L","A2302454R","A3606061L","A2302456V","A2302457W","A2302458X","A2302459A","A2302460K","A3606062R","A2302462R","A2302463T","A2302464V","A2302465W","A2302466X","A2302467A","A2302468C","A2302469F","A2302470R","A2323381C","A2302472V","A2302473W","A2302474X","A3606063T","A2302476C","A2302477F","A2302478J","A3429047X","A3429305C","A3430466R","A3367261X","A3371350C","A3372970K","A3361741A","A3544885R","A3362683J","A3369868F","A3428192A","A3359203A","A3373603A","A3370438C","A3371419R","A3366400V","A3591637F","A3362770F","A3544967V","A3368974T","A3363316X","A3359206J","A3427379J","A3545052R","A3359311K","A3373132T","A85253426W","A3545054V","A3545055W","A3545056X","A3430469W","A3545192T","A83834212F","A3360988K","A3360463V","A3363457C","A3359929L","A3367438V","A3363985J","A3591889A","A3373186X","A3360466A","A3594008V","A3372130V","A3364498T","A3426005W","A3428474X","A3362245J","A3425102F","A3544886T","A3363703X","A3360748X","A3371353K","A3359104V","A3360751L","A3372406W","A3362260F","A3544887V","A3364795L","A3362686R","A3430211L","A3591638J","A83834719T","A3366403A","A3361861V","A3363817W","A3374554K","A3364894V","A3365359K","A3370939A","A3371965X","A3363319F","A3362341J","A3372475A","A3544968W","A3362773L","A3364342W","A3427913W","A3361486C","A83834572K","A3374140K","A3366484R","A3374143T","A3360916X","A3364429L","A3372031L","A3369058C","A3373138F","A3371497W","A3364432A","A3545058C","A3370495X","A3371500X","A3426878J","A3360469J","A83833990J","A3606208V","A3359932A","A3361999K","A3362455F","A3373189F","A3368014J","A3365527K","A3363988R","A3372133A","A3366958F","A3360472W","A3369112F","A83834857R","A84931600W","A3387020J","A84931606K","A3398093A","A3378071R","A3395900F","A3386186R","A3383954R","A3387050W","A3393659K","A3391508R","A3377387T","A3387053C","A84931607L","A3551932A","A3396062X","A3387896A","A3393020W","A3396761K","A3395300A","A3396065F","A3378920W","A3398225T","A3396068L","A3383330T","A3375386C","A3389348X","A84931608R","A3385019L","A3396173R","A3391781C","A3381182R","A3376229T","A3610749L","A3386435T","A3379019X","A3551229X","A3396878R","A84931609T","A3397625K","A3383522K","A3388805A","A3381275A","A3386573R","A84931768A","A3389555R","A3375599J","A3376943A","A3424499W","A3432053C","A3370834F","A3427148X","A3360253W","A3365803V","A3374467L","A3363715J","A3359116C","A3370336R","A3363718R","A3367276R","A3361318T","A3369877J","A3360772X","A3373513W","A3427619J","A3369946A","A3371437V","A3373615K","A3373618T","A3358723L","A3361417X","A3374089R","A3373069L","A3366424L","A3372493F","A3366427V","A3606196W","A3370951T","A3360862C","A3368995C","A3430739K","A3366493T","A3371005R","A3365464L","A3545078L","A85253429C","A3374647W","A3428750J","A3427145T","A3363202A","A3430736C","A3363721C","A3605142W","A3424808R","A3361420L","A3363331W","A3429893K","A3374650K","A3368515F","A3373144A","A3360409F","A3372049K","A3360412V","A3371503F","A3367948V","A3545081A","A3429044T","A3432650A","A3371872L","A3426611W","A83834635J","A3369067F","A3373147J","A3365959R","A3362851J","A3367951J","A3372052X","A3359314T","A3364450F","A3370507W","A3371008W","A3371509V","A3370510K","A3373150W","A3545082C"
1959-09-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60097,NA,NA,55736,56905,55925,51801,NA,3961,NA,3994,573,NA,NA,NA,NA,NA,NA,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60242,NA,NA,55786,57087,56048,51803,NA,3967,NA,3999,574,15.4,NA,NA,NA,NA,NA,NA,81.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58754,5813,NA,54181,55853,54974,50637,5010,3999,396,4104,728,20.6,NA,NA,NA,NA,NA,NA,83.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959-12-01,1.1,NA,NA,1.9,1.6,1.7,2.8,NA,2.8,NA,NA,NA,NA,NA,NA,1.5,60734,NA,NA,56822,57801,56897,53241,NA,4070,NA,4087,586,NA,NA,NA,NA,NA,NA,NA,82.2,0.9,NA,NA,1.9,1,1.3,2.6,NA,2.9,NA,NA,NA,NA,NA,NA,-1.9,60766,NA,NA,56874,57646,56776,53140,NA,4083,NA,4090,592,14.1,NA,NA,NA,NA,NA,NA,80.1,13.8,13.2,NA,17.7,13.7,13.8,17.9,17.3,12.3,NA,NA,NA,NA,NA,NA,-2.3,66837,6578,NA,63778,63518,62547,59706,5876,4491,442,4539,883,21.8,NA,NA,NA,NA,NA,NA,81.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960-03-01,1.3,NA,NA,2.1,1.6,1.8,2.6,NA,3.4,NA,NA,NA,NA,NA,NA,1.4,61515,NA,NA,57996,58751,57892,54627,NA,4210,NA,4188,610,NA,NA,NA,NA,NA,NA,NA,83.4,0.5,NA,NA,1.2,1.5,1.6,2.5,NA,1.9,NA,NA,NA,NA,NA,NA,6.2,61069,NA,NA,57558,58500,57678,54467,NA,4163,NA,4169,590,13.2,NA,NA,NA,NA,NA,NA,85.1,-12.3,-12.8,NA,-14.3,-11.9,-12,-13.9,-14.3,-12.7,NA,NA,NA,NA,NA,NA,2.2,58585,5733,NA,54682,55936,55022,51432,5033,3923,384,3911,453,8.8,NA,NA,NA,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960-06-01,1.3,NA,NA,1.7,1.4,1.5,1.9,NA,2.7,NA,NA,NA,NA,NA,NA,0.4,62328,NA,NA,59000,59598,58774,55671,NA,4324,NA,4298,643,NA,NA,NA,NA,NA,NA,NA,83.7,2.8,NA,NA,3.5,2.8,2.8,3.4,NA,5,NA,NA,NA,NA,NA,NA,1,62765,NA,NA,59570,60163,59294,56305,NA,4372,NA,4302,652,14.9,NA,NA,NA,NA,NA,NA,85.9,3.6,3,NA,4.5,3.8,4.1,4.9,4.3,6.5,NA,NA,NA,NA,NA,NA,2.4,60665,5903,NA,57147,58089,57254,53940,5249,4178,407,4056,394,2.9,NA,NA,NA,NA,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960-09-01,0.9,NA,NA,0.6,0.7,0.7,0.4,NA,1.9,NA,NA,NA,NA,NA,NA,-0.8,62886,NA,NA,59344,60041,59211,55872,NA,4406,NA,4387,668,NA,NA,NA,NA,NA,NA,NA,83,0.2,NA,NA,-0.3,-0.7,-0.7,-1.4,NA,0.5,NA,NA,NA,NA,NA,NA,-7.2,62907,NA,NA,59376,59746,58892,55542,NA,4394,NA,4392,671,12.6,NA,NA,NA,NA,NA,NA,79.7,2,1.4,NA,1.8,1.5,1.6,1.4,0.9,3.7,NA,NA,NA,NA,NA,NA,-3.9,61887,5989,NA,58198,58941,58194,54710,5294,4335,419,4433,760,16.4,NA,NA,NA,NA,NA,NA,81.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960-12-01,0.2,NA,NA,-0.6,-0.2,-0.3,-1.1,NA,0.4,NA,NA,NA,NA,NA,NA,-2.4,62997,NA,NA,58992,59895,59026,55241,NA,4424,NA,4410,656,NA,NA,NA,NA,NA,NA,NA,81,-0.2,NA,NA,-1.1,0.3,0.5,-0.4,NA,0.6,NA,NA,NA,NA,NA,NA,5.1,62779,NA,NA,58721,59918,59184,55348,NA,4422,NA,4431,660,14.1,NA,NA,NA,NA,NA,NA,83.8,11,10.3,NA,12.4,11.3,11.4,12.8,12.2,12.1,NA,NA,NA,NA,NA,NA,4,68670,6608,NA,65395,65626,64805,61714,5939,4859,468,4907,968,21.6,NA,NA,NA,NA,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961-03-01,-0.5,NA,NA,-1.4,-0.9,-0.9,-1.8,NA,-0.8,NA,NA,NA,NA,NA,NA,-2.1,62676,NA,NA,58184,59346,58480,54232,NA,4388,NA,4372,600,NA,NA,NA,NA,NA,NA,NA,79.3,0.3,NA,NA,-0.4,-0.4,-0.8,-1.6,NA,-0.2,NA,NA,NA,NA,NA,NA,-4.5,62967,NA,NA,58485,59702,58685,54477,NA,4415,NA,4378,621,16.3,NA,NA,NA,NA,NA,NA,80,-11.7,-12.3,NA,-14.6,-12.6,-13.2,-16.1,-16.6,-13.1,NA,NA,NA,NA,NA,NA,-7.1,60614,5798,NA,55823,57340,56255,51760,4951,4225,404,4149,513,13.1,NA,NA,NA,NA,NA,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961-06-01,-0.7,NA,NA,-1.3,-1,-0.9,-1.5,NA,-1,NA,NA,NA,NA,NA,NA,-1.6,62237,NA,NA,57431,58761,57945,53405,NA,4342,NA,4318,536,NA,NA,NA,NA,NA,NA,NA,78,-1.1,NA,NA,-1.8,-2.1,-1.8,-2.6,NA,-2.2,NA,NA,NA,NA,NA,NA,-5.6,62275,NA,NA,57416,58474,57641,53037,NA,4317,NA,4292,513,15.1,NA,NA,NA,NA,NA,NA,75.6,-1.4,-2,NA,-2.2,-2.5,-2,-3,-3.6,-2.2,NA,NA,NA,NA,NA,NA,-5.7,59756,5682,NA,54582,55933,55149,50220,4775,4132,393,4032,247,2.1,NA,NA,NA,NA,NA,NA,74.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961-09-01,-0.2,NA,NA,-0.4,-0.2,-0.1,-0.2,NA,-0.3,NA,NA,NA,NA,NA,NA,-0.2,62107,NA,NA,57197,58644,57908,53275,NA,4328,NA,4312,507,NA,NA,NA,NA,NA,NA,NA,77.8,-0.7,NA,NA,-0.9,0.2,0.6,0.5,NA,0.2,NA,NA,NA,NA,NA,NA,5.7,61831,NA,NA,56911,58587,57997,53314,NA,4326,NA,4321,500,14.4,NA,NA,NA,NA,NA,NA,79.9,1.9,1.3,NA,2.3,3.4,3.9,4.6,4,3.7,NA,NA,NA,NA,NA,NA,9.7,60879,5754,NA,55835,57835,57323,52521,4964,4287,405,4353,588,17.9,NA,NA,NA,NA,NA,NA,81.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961-12-01,1.1,NA,NA,1.3,1.4,1.6,1.8,NA,1.2,NA,NA,NA,NA,NA,NA,2,62772,NA,NA,57931,59492,58806,54253,NA,4380,NA,4389,539,NA,NA,NA,NA,NA,NA,NA,79.4,1.1,NA,NA,1.3,1,0.6,1.1,NA,0.8,NA,NA,NA,NA,NA,NA,-1.6,62536,NA,NA,57678,59168,58369,53878,NA,4362,NA,4353,529,14.1,NA,NA,NA,NA,NA,NA,78.6,12.8,12.1,NA,15.6,12.6,12,15.1,14.4,12.2,NA,NA,NA,NA,NA,NA,-2.2,68666,6452,NA,64573,65109,64220,60450,5680,4809,452,4853,862,22.4,NA,NA,NA,NA,NA,NA,79.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
